customer_id,date,credit_card,cvv,category
82,2014-09-15T16:43:41,514 41005 05085 229,150,Alcohol
42,2012-11-19T00:57:50,5491248114297104,816,Furniture
31,2014-01-09T10:52:08,5326988945558924,302,Toiletries
94,2014-01-08T19:36:10,5304372432194996,701,Shoes
24,2014-03-26T01:40:31,5117313221604560,615,Alcohol
78,2013-02-21T22:24:06,551010 8164916366,728,Jewelry
97,2013-05-03T07:41:35,515774 5343040952,736,Alcohol
67,2011-12-24T19:22:13,5523 0550 5880 0955,180,Furniture
4,2014-06-03T16:42:24,5123957481259341,187,Shoes
38,2013-03-23T23:06:34,549 30068 04454 833,166,Furniture
50,2013-12-03T21:36:31,559 58431 83696 338,845,Toiletries
70,2014-09-06T19:01:43,5507617457829537,406,Jewelry
39,2013-02-20T19:18:46,5321 8386 4860 5255,689,Shoes
98,2013-07-05T09:06:58,5381 9373 2116 9592,266,Furniture
74,2013-03-10T00:48:01,531814 672940 5743,233,Shoes
30,2013-05-24T00:10:19,559685 294097 2295,344,Food
76,2013-02-26T07:28:48,549 47685 22957 764,134,Shoes
43,2014-01-12T17:05:47,520 30636 15176 957,474,Alcohol
88,2013-01-27T12:01:16,557723 380801 2743,734,Alcohol
100,2012-06-07T16:40:18,5595468787370005,392,Food
49,2012-02-10T20:39:16,5112 5429 2775 3678,849,Food
1,2013-10-18T09:25:32,514453 732808 7991,291,Alcohol
88,2013-01-19T18:11:27,537823 056510 0266,488,Shoes
84,2013-12-18T01:15:18,5110758994736469,689,Jewelry
63,2014-10-27T08:05:28,512765 855612 1137,756,Jewelry
80,2013-10-26T02:21:21,5225333968180540,544,Alcohol
26,2013-03-20T09:56:19,524322 3807305267,811,Food
75,2011-12-29T00:46:23,5278 1074 5635 3066,900,Food
96,2011-12-03T12:06:24,534783 763706 1793,494,Shoes
94,2012-09-24T17:50:56,5383528861756985,886,Toiletries
50,2014-05-25T19:31:38,556 18127 62598 843,501,Alcohol
65,2012-04-11T05:15:37,556885 118117 5596,620,Jewelry
25,2013-03-30T16:37:28,5330 5830 4224 9552,848,Food
9,2013-12-21T06:40:12,530 19770 70394 022,490,Alcohol
51,2014-07-24T13:13:34,536103 6821290885,452,Furniture
24,2014-04-16T19:24:00,557853 987022 3953,934,Food
80,2014-05-04T00:11:38,534988 044196 9445,924,Furniture
25,2013-01-13T06:16:43,539386 187052 1381,608,Shoes
89,2013-12-01T15:51:03,5371 3089 8583 2770,226,Food
60,2013-01-25T14:36:07,5578 3573 5332 9662,481,Shoes
23,2012-08-20T03:28:32,534915 2081205575,491,Food
81,2014-01-15T18:52:43,555174 810615 9458,558,Furniture
95,2014-06-28T14:29:08,523923 444154 9638,653,Toiletries
7,2013-07-27T10:34:05,515595 930180 7037,384,Alcohol
16,2012-11-02T08:30:32,535694 0511953719,997,Jewelry
88,2013-10-07T20:46:36,5396 9871 2036 6819,132,Toiletries
65,2013-03-21T16:36:59,5296 5211 2735 1234,283,Furniture
21,2012-02-16T02:11:38,5238816207807761,495,Alcohol
51,2011-11-28T19:37:29,525648 9596003264,418,Shoes
34,2013-08-31T21:00:56,5150 9912 0367 8005,348,Shoes
34,2014-03-29T07:14:05,512 22243 51479 066,920,Food
69,2013-12-21T08:20:01,544 24793 20056 477,864,Shoes
38,2013-10-24T09:24:26,558421 8127357219,114,Furniture
75,2012-05-14T14:29:37,559055 861826 4834,273,Toiletries
59,2014-09-04T10:56:24,5186976822944159,113,Food
2,2014-04-14T02:52:46,542997 6130601365,516,Toiletries
56,2012-07-12T04:47:28,532 46851 50175 962,388,Toiletries
53,2013-03-22T04:15:33,5327252053745289,636,Food
93,2014-04-20T13:57:35,515811 632964 0802,392,Jewelry
35,2012-03-17T13:21:31,5234809511840788,818,Food
58,2014-06-23T11:50:29,522588 488506 2062,389,Jewelry
57,2011-11-10T14:59:13,536966 111625 7026,774,Toiletries
41,2012-06-02T12:12:25,548272 1507296025,961,Toiletries
55,2012-10-01T12:06:54,547 39051 41903 291,997,Furniture
69,2011-12-05T07:25:03,5118 2744 9245 2007,667,Furniture
16,2012-06-18T04:44:05,5249 6659 4617 5148,399,Toiletries
69,2012-06-02T07:58:50,524668 693478 7291,896,Furniture
13,2013-01-06T12:33:02,5559842473947108,897,Shoes
100,2012-09-05T23:13:55,556749 0219801856,853,Shoes
63,2012-11-20T13:02:27,554276 8450826504,405,Alcohol
44,2014-05-04T17:57:42,520 07985 58947 269,714,Shoes
45,2014-06-25T03:27:02,5328865049852023,563,Toiletries
12,2012-12-04T06:45:37,550260 512028 7279,180,Toiletries
65,2012-08-05T07:45:07,5597673058387038,219,Alcohol
4,2012-05-27T01:52:06,5135236698842900,480,Furniture
68,2012-08-17T02:38:02,532070 839394 1794,951,Toiletries
41,2013-08-28T08:04:52,543890 7411079772,468,Alcohol
39,2012-10-25T05:38:09,510521 838559 6292,239,Alcohol
93,2012-01-01T16:21:36,512845 767346 7286,629,Furniture
49,2013-10-16T02:43:17,547843 3307759550,290,Shoes
6,2014-08-18T10:26:29,5292596618190493,886,Toiletries
28,2014-01-21T03:54:02,5450533844262117,583,Toiletries
97,2012-10-22T13:04:39,5599 2604 0901 5621,385,Toiletries
81,2011-12-04T12:57:35,5383306030137753,291,Shoes
6,2014-05-31T09:19:09,5501 4404 0072 5637,657,Food
2,2011-12-01T00:32:47,5316195609133885,474,Jewelry
50,2012-01-12T13:35:06,532727 6575027801,768,Alcohol
19,2014-10-07T06:41:36,551355 5924531561,462,Alcohol
12,2011-11-30T01:16:14,512998 523179 6464,452,Shoes
15,2014-02-06T09:39:33,5256 5390 1728 3596,911,Alcohol
26,2013-03-13T02:51:33,529269 429666 7922,241,Jewelry
18,2014-10-22T09:34:55,537453 7166406742,626,Food
13,2012-07-12T09:25:06,546275 488407 2432,781,Furniture
46,2011-11-24T07:51:36,557 65168 95217 899,750,Jewelry
93,2012-11-13T19:01:48,5418582450959566,794,Toiletries
78,2014-02-15T14:59:57,526423 6631112190,389,Furniture
4,2013-01-07T04:59:25,540010 267183 8620,134,Shoes
23,2012-07-17T09:34:32,536 55286 84430 984,391,Alcohol
79,2011-11-13T13:47:23,540799 1878012978,201,Jewelry
82,2013-02-10T22:26:17,543328 845748 3755,657,Jewelry
